provider,aux_mode,aux_source,target_rank,aux_file,output_pdf,gaussian_clusters,n_features,chai_selected_q05,chai_selected_q10,chai_selected_q15,chai_selected_q20,bh_selected_q05,fdrreg_selected_q05,fdrreg_selected_q10,fdrreg_selected_q15,fdrreg_selected_q20
combined,weighted,family,genus,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/weighted/selectionTargetGenus/d1Taxonomy_genus_ABCD_family_and_below_weighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/weighted/feature_selection_target_genus_aux_family_weighted.pdf,10,186,38,87,131,146,0,3,7,21,67
combined,weighted,genus,genus,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/weighted/selectionTargetGenus/d1Taxonomy_genus_ABCD_genus_and_below_weighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/weighted/feature_selection_target_genus_aux_genus_weighted.pdf,7,186,4,21,62,122,0,4,10,20,53
combined,weighted,order,genus,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/weighted/selectionTargetGenus/d1Taxonomy_genus_ABCD_order_and_below_weighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/weighted/feature_selection_target_genus_aux_order_weighted.pdf,3,186,3,14,53,112,0,3,7,22,68
combined,weighted,phylum,genus,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/weighted/selectionTargetGenus/d1Taxonomy_genus_ABCD_phylum_and_below_weighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/weighted/feature_selection_target_genus_aux_phylum_weighted.pdf,3,186,3,14,53,112,0,3,7,22,68
combined,weighted,class,species,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/weighted/selectionTargetSpecies/d1Taxonomy_species_ABCD_class_and_below_weighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/weighted/feature_selection_target_species_aux_class_weighted.pdf,10,281,147,185,196,196,0,0,0,8,60
combined,weighted,family,species,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/weighted/selectionTargetSpecies/d1Taxonomy_species_ABCD_family_and_below_weighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/weighted/feature_selection_target_species_aux_family_weighted.pdf,10,281,146,186,196,196,0,0,0,6,58
combined,weighted,genus,species,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/weighted/selectionTargetSpecies/d1Taxonomy_species_ABCD_genus_and_below_weighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/weighted/feature_selection_target_species_aux_genus_weighted.pdf,10,281,12,39,113,179,0,0,0,3,31
combined,weighted,order,species,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/weighted/selectionTargetSpecies/d1Taxonomy_species_ABCD_order_and_below_weighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/weighted/feature_selection_target_species_aux_order_weighted.pdf,10,281,147,185,196,196,0,0,0,8,60
combined,weighted,phylum,species,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/weighted/selectionTargetSpecies/d1Taxonomy_species_ABCD_phylum_and_below_weighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/weighted/feature_selection_target_species_aux_phylum_weighted.pdf,10,281,147,185,196,196,0,0,0,8,60
combined,weighted,species,species,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/weighted/selectionTargetSpecies/d1Taxonomy_species_ABCD_species_and_below_weighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/weighted/feature_selection_target_species_aux_species_weighted.pdf,10,281,0,36,128,164,0,NA,NA,NA,NA
