"kingdom","phylum","class","order","family","genus","species","A","B","C"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","eggerthii",-1.6843963790233,-3.34252852528512,0
"Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae","Trigonala","elaeagnus",0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","endodontalis",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus","eutactus",1.95996398454005,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","faecis",1.95996398454005,0,0
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria","Dictyostelium","fasciculatum",0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Macellibacteroides","fermentans",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","fimetarium",-2.70950030675198,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","finegoldii",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","flavefaciens",1.95996398454005,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Shigella","flexneri",-2.05374891063182,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","formicigenerans",1.56435806527895,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Gemmiger","formicilis",1.95996398454005,0,0
"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Oxalobacter","formigenes",0,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","fragi",0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","fragilis",-1.6843963790233,-3.34252852528512,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Citrobacter","freundii",-2.05374891063182,0,0
"Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Anaerorhabdus","furcosa",0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Dysgonomonas","gadei",0,0,0
"Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","ganmani",0,0,0
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","garvieae",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","gauvreauii",1.95996398454005,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Ruminococcus","gnavus",1.95996398454005,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","gordonii",0,1.95996398454005,0
