"kingdom","phylum","class","order","family","genus","species","A","B","C"
"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Gardnerella","unclassified Gardnerella",0,0,0
"Bacteria","Firmicutes","Bacilli","Gemellales","Gemellaceae","unclassified Gemellaceae","unclassified Gemellaceae",0,0,0
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella","unclassified Granulicatella",0,0,0
"Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Holdemania","unclassified Holdemania",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnobacterium","unclassified Lachnobacterium",1.95996398454005,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira","unclassified Lachnospira",1.95996398454005,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified Lachnospiraceae","unclassified Lachnospiraceae",1.95996398454005,0,0
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","unclassified Lactobacillus",0,0,0
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","unclassified Lactococcus",0,0,0
"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","unclassified Leptotrichia",0,0,0
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc","unclassified Leuconostoc",1.95996398454005,0,0
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","unclassified Leuconostocaceae","unclassified Leuconostocaceae",1.95996398454005,0,0
"Bacteria","Tenericutes","RF3","ML615J-28","unclassified ML615J-28","unclassified ML615J-28","unclassified ML615J-28",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Megasphaera","unclassified Megasphaera",0,0,-1.95996398454005
"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","unclassified Methanobrevibacter",0,0,0
"Archaea","Euryarchaeota","Thermoplasmata","Methanomassiliicoccales","Methanomassiliicoccaceae","Methanomassiliicoccus","unclassified Methanomassiliicoccus",0,0,0
"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanosphaera","unclassified Methanosphaera",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Mitsuokella","unclassified Mitsuokella",0,0,0
"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Mobiluncus","unclassified Mobiluncus",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Mogibacteriaceae","unclassified Mogibacteriaceae","unclassified Mogibacteriaceae",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Mogibacteriaceae","Mogibacterium","unclassified Mogibacterium",0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","unclassified Muribaculaceae","unclassified Muribaculaceae",0,0,0
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Brucellaceae","Ochrobactrum","unclassified Ochrobactrum",0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae","Odoribacter","unclassified Odoribacter",-1.96859166918659,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Oribacterium","unclassified Oribacterium",1.95996398454005,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","unclassified Oscillospira",-1.95996398454005,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","unclassified Parabacteroides",0,1.95996398454005,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Paraprevotellaceae","Paraprevotella","unclassified Paraprevotella",0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Paraprevotellaceae","unclassified Paraprevotellaceae","unclassified Paraprevotellaceae",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Tissierellaceae","Parvimonas","unclassified Parvimonas",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","unclassified Peptococcaceae","unclassified Peptococcaceae",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Tissierellaceae","Peptoniphilus","unclassified Peptoniphilus",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","unclassified Peptostreptococcaceae","unclassified Peptostreptococcaceae",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptostreptococcus","unclassified Peptostreptococcus",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Phascolarctobacterium","unclassified Phascolarctobacterium",0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","unclassified Porphyromonas",0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","unclassified Prevotella",1.95996398454005,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Paraprevotellaceae","Prevotella","unclassified Prevotella",0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","unclassified Prevotellaceae","unclassified Prevotellaceae",1.95996398454005,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Proteus","unclassified Proteus",-2.05374891063182,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Providencia","unclassified Providencia",-2.05374891063182,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Pseudobutyrivibrio","unclassified Pseudobutyrivibrio",1.95996398454005,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","unclassified Pseudomonas",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Pseudoramibacter_Eubacterium","unclassified Pseudoramibacter_Eubacterium",0,0,0
"Bacteria","Proteobacteria","Alphaproteobacteria","RF32","unclassified RF32","unclassified RF32","unclassified RF32",0,0,0
"Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","RFN20","unclassified RFN20",0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","unclassified Rikenellaceae","unclassified Rikenellaceae",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","unclassified Roseburia",1.95996398454005,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified Ruminococcaceae","unclassified Ruminococcaceae",1.95996398454005,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","unclassified Ruminococcus",1.95996398454005,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Ruminococcus","unclassified Ruminococcus",1.95996398454005,0,0
"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Rummeliibacillus","unclassified Rummeliibacillus",0,0,0
"Bacteria","Firmicutes","Clostridia","SHA-98","unclassified SHA-98","unclassified SHA-98","unclassified SHA-98",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","SMB53","unclassified SMB53",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Sarcina","unclassified Sarcina",0,0,0
"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Scardovia","unclassified Scardovia",0,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia","unclassified Serratia",-2.05374891063182,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Shuttleworthia","unclassified Shuttleworthia",1.95996398454005,0,0
"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Slackia","unclassified Slackia",1.95996398454005,0,0
"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","unclassified Sphingobacteriales","unclassified Sphingobacteriales","unclassified Sphingobacteriales",0,0,0
"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","unclassified Staphylococcus",0,0,0
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","unclassified Streptococcus",-1.95996398454005,0,0
"Bacteria","Cyanobacteria","Chloroplast","Streptophyta","unclassified Streptophyta","unclassified Streptophyta","unclassified Streptophyta",0,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Succinivibrio","unclassified Succinivibrio",0,0,0
"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella","unclassified Sutterella",0,0,0
"Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Synergistes","unclassified Synergistes",0,0,0
"Bacteria","Firmicutes","Bacilli","Turicibacterales","Turicibacteraceae","Turicibacter","unclassified Turicibacter",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","unclassified Veillonellaceae","unclassified Veillonellaceae",0,0,0
"Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallaceae","unclassified Victivallaceae","unclassified Victivallaceae",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Tissierellaceae","WAL_1855D","unclassified WAL_1855D",0,0,0
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","unclassified Weeksellaceae","unclassified Weeksellaceae",0,0,0
"Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","cc_115","unclassified cc_115",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Tissierellaceae","ph2","unclassified ph2",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","rc4-4","unclassified rc4-4",0,0,0
"Archaea","Euryarchaeota","Thermoplasmata","Methanomassiliicoccales","Methanomassiliicoccaceae","vadinCA11","unclassified vadinCA11",0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis",-1.6843963790233,-3.34252852528512,0
"Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","ureolyticus",0,0,0
"Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallaceae","Victivallis","vadensis",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum","variabile",1.95996398454005,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","veronii",0,0,0
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria","Silene","vulgaris",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lacrimispora","xylanisolvens",2.45726339020544,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Pseudobutyrivibrio","xylanivorans",1.95996398454005,0,0
