phylum,class,order,family,genus,species,n_selected_otus,A_sum,B_sum,C_sum,min_clFDR
Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,unclassified Lactobacillus,3,0,0,0,0.15468692399422596
Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,unclassified Corynebacterium,3,0,0,0,0.172610370798398
Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Anaerofustis,unclassified Anaerofustis,3,0,0,0,0.172610370798398
Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Dialister,unclassified Dialister,3,0,0,0,0.18922745019836293
Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,RFN20,unclassified RFN20,3,0,0,0,0.19879575545914266
Lentisphaerae,Lentisphaeria,Victivallales,Victivallaceae,unclassified Victivallaceae,unclassified Victivallaceae,3,0,0,0,0.19879575545914266
Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,unclassified Fusobacteriaceae,unclassified Fusobacteriaceae,3,0,0,0,0.1987957554591427
Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,agglomerans,3,-6.16124673189546,0,0,0.20110195223624686
Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,Butyricimonas,unclassified Butyricimonas,3,-5.90577500755977,0,0,0.2166838943481477
Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,unclassified Roseburia,3,5.879891953620151,0,0,0.26931406072405223
Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,intestinihominis,2,-5.93547585068358,0,0,0.12860915289109667
Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,fimetarium,2,-5.41900061350396,0,0,0.13319505255387826
Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,celatum,2,-5.41900061350396,0,0,0.13349761498998183
Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,butyricum,2,-5.41900061350396,0,0,0.13703608110408233
Firmicutes,Clostridia,Clostridiales,Tissierellaceae,1-68,unclassified 1-68,2,0,0,0,0.14722235840403383
Firmicutes,Clostridia,Clostridiales,Clostridiaceae,SMB53,unclassified SMB53,2,0,0,0,0.1478718833627703
Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenella,unclassified Christensenella,2,0,0,0,0.1509714156582849
Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Dysgonomonas,unclassified Dysgonomonas,2,0,0,0,0.15097141565828492
Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia,mucilaginosa,2,0,0,0,0.1528806109250415
Firmicutes,Clostridia,Clostridiales,Veillonellaceae,unclassified Veillonellaceae,unclassified Veillonellaceae,2,0,0,0,0.15888080783718544
Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Macellibacteroides,fermentans,2,0,0,0,0.1589358670706712
Firmicutes,Clostridia,Clostridiales,Tissierellaceae,Anaerococcus,unclassified Anaerococcus,2,0,0,0,0.1589358670706712
Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Dysgonomonas,gadei,2,0,0,0,0.172610370798398
Firmicutes,Clostridia,Clostridiales,Mogibacteriaceae,Mogibacterium,unclassified Mogibacterium,2,0,0,0,0.17261037079839803
Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Acidaminococcus,unclassified Acidaminococcus,2,0,0,0,0.17261037079839803
Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Anaerorhabdus,furcosa,2,0,0,0,0.17261037079839803
Tenericutes,RF3,ML615J-28,unclassified ML615J-28,unclassified ML615J-28,unclassified ML615J-28,2,0,0,0,0.17261037079839803
Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Providencia,unclassified Providencia,2,-4.10749782126364,0,0,0.19620005164379742
Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Veillonella,parvula,2,-3.9199279690801,0,0,0.20823097730584797
Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,putredinis,2,0,0,0,0.20958405697187416
Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,unclassified Faecalibacterium,2,3.9199279690801,3.9199279690801,0,0.21154360487453486
Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Eubacterium,dolichum,2,0,0,0,0.21590657675577507
Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,luteciae,2,-3.9199279690801,0,0,0.22015398670096964
Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,unclassified Coriobacteriaceae,unclassified Coriobacteriaceae,2,3.9199279690801,0,0,0.26999872158711274
Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Hungatella,hathewayi,2,3.9199279690801,0,0,0.2718647279457561
Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Gemmiger,formicilis,2,3.9199279690801,0,0,0.2718647279457561
Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,bromii,2,3.9199279690801,0,0,0.2728824925442947
Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,parainfluenzae,1,0,0,-1.95996398454005,0.12482813789538594
Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,distasonis,1,0,1.95996398454005,0,0.13301113860581892
Firmicutes,Clostridia,Clostridiales,Peptococcaceae,unclassified Peptococcaceae,anaerobic bacterium EtOH8,1,0,0,0,0.14625590875855807
Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,unclassified Enterococcaceae,unclassified Enterococcaceae,1,0,0,0,0.1463278619619231
Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,plantarum,1,0,0,0,0.1464770648685316
Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,neonatale,1,-2.70950030675198,0,0,0.14648087432544443
Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii,1,0,0,0,0.14722235840403383
Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,iners,1,0,0,0,0.14722235840403383
Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,Nicotiana,tabacum,1,0,0,0,0.14722235840403383
Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,cc_115,unclassified cc_115,1,0,0,0,0.14722235840403386
Firmicutes,Bacilli,Turicibacterales,Turicibacteraceae,Turicibacter,unclassified Turicibacter,1,0,0,0,0.14756964954700957
Firmicutes,Clostridia,Clostridiales,Tissierellaceae,ph2,unclassified ph2,1,0,0,0,0.14761521978775757
Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Catenibacterium,unclassified Catenibacterium,1,0,0,0,0.14761521978775757
Firmicutes,Clostridia,SHA-98,unclassified SHA-98,unclassified SHA-98,unclassified SHA-98,1,0,0,0,0.148036700036021
Firmicutes,Bacilli,Gemellales,Gemellaceae,unclassified Gemellaceae,unclassified Gemellaceae,1,0,0,0,0.1488912489776225
Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia,dentocariosa,1,0,0,0,0.1501780705299591
Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,breve,1,0,0,0,0.1509714156582849
Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Pseudoramibacter_Eubacterium,unclassified Pseudoramibacter_Eubacterium,1,0,0,0,0.1509714156582849
Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Eubacterium,biforme,1,0,0,0,0.1509714156582849
Tenericutes,Mollicutes,Anaeroplasmatales,Anaeroplasmataceae,Anaeroplasma,unclassified Anaeroplasma,1,0,0,0,0.1509714156582849
Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,moorei,1,0,0,0,0.15113009881883102
Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,onderdonkii,1,0,0,0,0.15181547769712808
Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,unclassified Staphylococcus,1,0,0,0,0.1521972429353683
Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,unclassified Aggregatibacter,1,0,0,0,0.15619374590626942
Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Mobiluncus,unclassified Mobiluncus,1,0,0,0,0.1589358670706712
Firmicutes,Clostridia,Clostridiales,Peptococcaceae,rc4-4,unclassified rc4-4,1,0,0,0,0.1589358670706712
Firmicutes,Clostridia,Clostridiales,Tissierellaceae,Parvimonas,unclassified Parvimonas,1,0,0,0,0.1589358670706712
Lentisphaerae,unclassified Lentisphaerae,unclassified Bacteria,unclassified Bacteria,unclassified Bacteria,unclassified Bacteria,1,0,0,0,0.1589358670706712
Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Eikenella,unclassified Eikenella,1,0,0,0,0.1589358670706712
Synergistetes,Synergistia,Synergistales,Synergistaceae,Synergistes,unclassified Synergistes,1,0,0,0,0.1589358670706712
Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,salivarius,1,0,0,0,0.16174207816342454
Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,spiroforme,1,-2.70950030675198,0,0,0.16399696666507005
Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,ramosum,1,-2.70950030675198,0,0,0.1683234705346221
Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,purinilyticum,1,-2.70950030675198,0,0,0.16842905442510242
Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,unclassified Methanobrevibacter,1,0,0,0,0.17230868059236906
Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,durum,1,0,0,0,0.172610370798398
Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Scardovia,unclassified Scardovia,1,0,0,0,0.172610370798398
Euryarchaeota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus,unclassified Methanomassiliicoccus,1,0,0,0,0.172610370798398
Euryarchaeota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,vadinCA11,unclassified vadinCA11,1,0,0,0,0.172610370798398
Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Sarcina,unclassified Sarcina,1,0,0,0,0.172610370798398
Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfurispora,unclassified Desulfurispora,1,0,0,0,0.172610370798398
Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,unclassified Leptotrichia,1,0,0,0,0.172610370798398
Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum,unclassified Ochrobactrum,1,0,0,0,0.172610370798398
Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,unclassified Delftia,1,0,0,0,0.172610370798398
Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,ureolyticus,1,0,0,0,0.172610370798398
Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,veronii,1,0,0,0,0.172610370798398
Synergistetes,Synergistia,Synergistales,Synergistaceae,Cloacibacillus,unclassified Cloacibacillus,1,0,0,0,0.172610370798398
Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,'Solanum,tuberosum' phytoplasma,1,0,0,0,0.172610370798398
Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,garvieae,1,0,0,0,0.17261037079839803
Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,unclassified Peptostreptococcaceae,unclassified Peptostreptococcaceae,1,0,0,0,0.1740287383186604
Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,unclassified Pseudomonas,1,0,0,0,0.1749660525932341
Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalobacter,formigenes,1,0,0,0,0.1846841973503129
Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,colicanis,1,-2.70950030675198,0,0,0.1864175172595801
Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,reuteri,1,0,0,0,0.18922745019836293
Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,paraputrificum,1,-2.70950030675198,0,0,0.19016336429691372
Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,adolescentis,1,0,0,0,0.19093028389182334
Firmicutes,Clostridia,Clostridiales,Clostridiaceae,02d06,unclassified 02d06,1,0,0,0,0.19384611274136296
Firmicutes,Clostridia,Clostridiales,Tissierellaceae,Finegoldia,unclassified Finegoldia,1,0,0,0,0.19542638492604916
Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,freundii,1,-2.05374891063182,0,0,0.19620005164379742
Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,kobei,1,-2.05374891063182,0,0,0.19640499947220189
Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,asburiae,1,-2.05374891063182,0,0,0.19649885817526264
Bacteroidetes,Bacteroidia,Bacteroidales,Paraprevotellaceae,Paraprevotella,unclassified Paraprevotella,1,0,0,0,0.19879575545914263
Bacteroidetes,Sphingobacteriia,Sphingobacteriales,unclassified Sphingobacteriales,unclassified Sphingobacteriales,unclassified Sphingobacteriales,1,0,0,0,0.19879575545914266
Firmicutes,Bacilli,Bacillales,Planococcaceae,Rummeliibacillus,unclassified Rummeliibacillus,1,0,0,0,0.19879575545914266
Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,unclassified Abiotrophia,1,0,0,0,0.19879575545914266
Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,unclassified Aerococcus,1,0,0,0,0.19879575545914266
Firmicutes,Clostridia,Clostridiales,Dehalobacteriaceae,unclassified Dehalobacteriaceae,unclassified Dehalobacteriaceae,1,0,0,0,0.19879575545914266
Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Selenomonas,bovis,1,0,0,0,0.19879575545914266
Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Alicycliphilus,unclassified Alicycliphilus,1,0,0,0,0.19879575545914266
