OTUname,phylum,class,order,family,genus,species,A,B,C,clFDR
OTU_286,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,unclassified Clostridiales,0,0,0,0.1462559087585581
OTU_1303,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Phascolarctobacterium,unclassified Phascolarctobacterium,0,0,0,0.1462559087585581
OTU_354,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,unclassified Desulfovibrionaceae,unclassified Desulfovibrionaceae,0,0,0,0.1462559087585581
OTU_239,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,unclassified Christensenellaceae,unclassified Christensenellaceae,0,0,0,0.14625590875855815
OTU_256,Firmicutes,Clostridia,Clostridiales,Mogibacteriaceae,unclassified Mogibacteriaceae,unclassified Mogibacteriaceae,0,0,0,0.14632313134497768
OTU_1416,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,unclassified Enterococcaceae,unclassified Enterococcaceae,0,0,0,0.1463278619619231
OTU_535,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,plantarum,0,0,0,0.1464770648685316
OTU_1065,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,methylpentosum,-2.70950030675198,0,0,0.1464808743254444
OTU_1403,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,colinum,-2.70950030675198,0,0,0.14648087432544443
OTU_957,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,unclassified Clostridium,-2.70950030675198,0,0,0.14648087432544443
OTU_603,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,unclassified Clostridium,-2.70950030675198,0,0,0.14648087432544443
OTU_306,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,unclassified Clostridium,-2.70950030675198,0,0,0.14648087432544443
OTU_138,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,neonatale,-2.70950030675198,0,0,0.14648087432544443
OTU_774,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,perfringens,-2.70950030675198,0,0,0.14648087432544443
OTU_1191,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,methylpentosum,-2.70950030675198,0,0,0.14648087432544443
OTU_562,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,methylpentosum,-2.70950030675198,0,0,0.14648087432544443
OTU_560,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,unclassified Muribaculaceae,unclassified Muribaculaceae,0,0,0,0.14654855322517651
OTU_72,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,unclassified Clostridiales,0,0,0,0.1467472098780458
OTU_829,Firmicutes,Clostridia,Clostridiales,Dehalobacteriaceae,Dehalobacterium,unclassified Dehalobacterium,0,0,0,0.14722235840403378
OTU_578,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,iners,0,0,0,0.14722235840403383
OTU_242,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii,0,0,0,0.14722235840403383
OTU_550,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,Nicotiana,tabacum,0,0,0,0.14722235840403383
OTU_523,Firmicutes,Clostridia,Clostridiales,Tissierellaceae,1-68,unclassified 1-68,0,0,0,0.14722235840403383
OTU_119,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,unclassified Rikenellaceae,unclassified Rikenellaceae,0,0,0,0.14722235840403383
OTU_139,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,unclassified Clostridiales,0,0,0,0.14722235840403386
OTU_526,Firmicutes,Clostridia,Clostridiales,Mogibacteriaceae,unclassified Mogibacteriaceae,unclassified Mogibacteriaceae,0,0,0,0.14722235840403386
OTU_369,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,cc_115,unclassified cc_115,0,0,0,0.14722235840403386
OTU_284,Firmicutes,Bacilli,Turicibacterales,Turicibacteraceae,Turicibacter,unclassified Turicibacter,0,0,0,0.14756964954700957
OTU_188,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Catenibacterium,unclassified Catenibacterium,0,0,0,0.14761521978775757
OTU_16,Proteobacteria,Alphaproteobacteria,RF32,unclassified RF32,unclassified RF32,unclassified RF32,0,0,0,0.14761521978775757
OTU_479,Firmicutes,Clostridia,Clostridiales,Dehalobacteriaceae,Dehalobacterium,unclassified Dehalobacterium,0,0,0,0.14761521978775757
OTU_203,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,unclassified Clostridiales,0,0,0,0.14761521978775757
OTU_534,Firmicutes,Clostridia,Clostridiales,Tissierellaceae,ph2,unclassified ph2,0,0,0,0.14761521978775757
OTU_220,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,unclassified Rikenellaceae,unclassified Rikenellaceae,0,0,0,0.14761521978775757
OTU_663,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,SMB53,unclassified SMB53,0,0,0,0.1478718833627703
OTU_173,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,unclassified Clostridiales,0,0,0,0.14800162935198546
OTU_374,Firmicutes,Clostridia,SHA-98,unclassified SHA-98,unclassified SHA-98,unclassified SHA-98,0,0,0,0.148036700036021
OTU_86,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,unclassified Christensenellaceae,unclassified Christensenellaceae,0,0,0,0.14820584998847544
OTU_341,Firmicutes,Bacilli,Gemellales,Gemellaceae,unclassified Gemellaceae,unclassified Gemellaceae,0,0,0,0.1488912489776225
OTU_678,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia,dentocariosa,0,0,0,0.1501780705299591
OTU_821,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,unclassified Clostridiales,0,0,0,0.1501780705299591
